timestamp_local,arrivals,hour_of_week,baseline,road_threat,customers_out,power_threat,road_next,power_next,next_time,date,intercept
2018-03-13 11:00:00,0.0,35,2.0,1.0,1,0.09099447410705684,0.0,0.14422282923252733,2018-03-13 12:00:00,2018-03-13,1.0
2018-03-13 12:00:00,6.0,36,2.0,0.0,2,0.14422282923252733,1.0,0.09099447410705684,2018-03-13 13:00:00,2018-03-13,1.0
2018-03-14 08:00:00,2.0,56,2.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-14 09:00:00,2018-03-14,1.0
2018-03-14 09:00:00,4.0,57,2.0,0.0,1,0.09099447410705684,1.0,0.14422282923252733,2018-03-14 10:00:00,2018-03-14,1.0
2018-03-14 10:00:00,0.0,58,1.0,1.0,2,0.14422282923252733,0.0,0.14422282923252733,2018-03-14 11:00:00,2018-03-14,1.0
2018-03-14 11:00:00,4.0,59,2.0,0.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-14 12:00:00,2018-03-14,1.0
2018-03-14 12:00:00,12.0,60,4.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-14 13:00:00,2018-03-14,1.0
2018-03-14 13:00:00,0.0,61,2.0,1.0,1,0.09099447410705684,0.0,0.9070935923952788,2018-03-14 14:00:00,2018-03-14,1.0
2018-03-15 10:00:00,0.0,82,2.0,1.0,2,0.14422282923252733,1.0,0.09099447410705684,2018-03-15 11:00:00,2018-03-15,1.0
2018-03-15 11:00:00,0.0,83,2.0,1.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-15 12:00:00,2018-03-15,1.0
2018-03-15 12:00:00,2.0,84,1.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-15 13:00:00,2018-03-15,1.0
2018-03-15 13:00:00,4.0,85,2.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-15 14:00:00,2018-03-15,1.0
2018-03-15 14:00:00,0.0,86,2.0,1.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-15 15:00:00,2018-03-15,1.0
2018-03-16 10:00:00,0.0,106,2.0,1.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-16 11:00:00,2018-03-16,1.0
2018-03-17 10:00:00,0.0,130,2.0,1.0,152,0.6603821901367656,0.0,0.6603821901367656,2018-03-17 11:00:00,2018-03-17,1.0
2018-03-17 13:00:00,2.0,133,2.0,0.0,4,0.21128262590867591,0.0,0.23521730333958416,2018-03-17 14:00:00,2018-03-17,1.0
2018-03-17 16:00:00,0.0,136,2.0,1.0,4,0.21128262590867591,0.0,0.09099447410705684,2018-03-17 17:00:00,2018-03-17,1.0
2018-03-17 17:00:00,6.0,137,2.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-17 18:00:00,2018-03-17,1.0
2018-03-18 15:00:00,0.0,159,2.0,1.0,1,0.09099447410705684,0.0,0.14422282923252733,2018-03-18 16:00:00,2018-03-18,1.0
2018-03-19 11:00:00,0.0,11,1.0,1.0,178,0.6809858809662559,0.0,0.656904443009674,2018-03-19 12:00:00,2018-03-19,1.0
2018-03-19 12:00:00,4.0,12,2.0,0.0,148,0.656904443009674,0.0,0.6487253588872788,2018-03-19 13:00:00,2018-03-19,1.0
2018-03-19 13:00:00,4.0,13,2.0,0.0,139,0.6487253588872788,1.0,0.6458816965840104,2018-03-19 14:00:00,2018-03-19,1.0
2018-03-20 09:00:00,4.0,33,2.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-20 10:00:00,2018-03-20,1.0
2018-03-20 10:00:00,0.0,34,1.0,1.0,1,0.09099447410705684,0.0,0.14422282923252733,2018-03-20 11:00:00,2018-03-20,1.0
2018-03-20 13:00:00,4.0,37,1.0,0.0,1,0.09099447410705684,0.3333333333333333,0.09099447410705684,2018-03-20 14:00:00,2018-03-20,1.0
2018-03-21 08:00:00,2.0,56,2.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-21 09:00:00,2018-03-21,1.0
2018-03-21 09:00:00,4.0,57,2.0,0.0,1,0.09099447410705684,1.0,0.14422282923252733,2018-03-21 10:00:00,2018-03-21,1.0
2018-03-21 10:00:00,0.0,58,1.0,1.0,2,0.14422282923252733,0.0,0.14422282923252733,2018-03-21 11:00:00,2018-03-21,1.0
2018-03-21 11:00:00,2.0,59,2.0,0.0,2,0.14422282923252733,0.0,0.18198894821411368,2018-03-21 12:00:00,2018-03-21,1.0
2018-03-21 12:00:00,4.0,60,4.0,0.0,3,0.18198894821411368,0.0,0.14422282923252733,2018-03-21 13:00:00,2018-03-21,1.0
2018-03-21 15:00:00,0.0,63,1.0,1.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-21 16:00:00,2018-03-21,1.0
2018-03-22 08:00:00,0.0,80,1.0,1.0,24,0.42256525181735183,1.0,0.2554537847644892,2018-03-22 09:00:00,2018-03-22,1.0
2018-03-22 11:00:00,2.0,83,2.0,0.0,6,0.2554537847644892,0.0,0.2554537847644892,2018-03-22 12:00:00,2018-03-22,1.0
2018-03-22 12:00:00,6.0,84,2.0,0.0,6,0.2554537847644892,0.0,0.14422282923252733,2018-03-22 13:00:00,2018-03-22,1.0
2018-03-22 16:00:00,6.0,88,3.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-22 17:00:00,2018-03-22,1.0
2018-03-22 17:00:00,6.0,89,2.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-22 18:00:00,2018-03-22,1.0
2018-03-23 09:00:00,4.0,105,1.0,0.0,2,0.14422282923252733,0.0,0.14422282923252733,2018-03-23 10:00:00,2018-03-23,1.0
2018-03-23 10:00:00,4.0,106,1.0,0.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-23 11:00:00,2018-03-23,1.0
2018-03-23 13:00:00,4.0,109,2.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-23 14:00:00,2018-03-23,1.0
2018-03-26 12:00:00,0.0,12,2.0,1.0,2,0.14422282923252733,0.0,0.14422282923252733,2018-03-26 13:00:00,2018-03-26,1.0
2018-03-26 13:00:00,4.0,13,3.0,0.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-26 14:00:00,2018-03-26,1.0
2018-03-27 08:00:00,2.0,32,1.0,0.0,44,0.4997282843737305,0.0,0.5892559580082742,2018-03-27 09:00:00,2018-03-27,1.0
2018-03-27 09:00:00,2.0,33,2.0,0.0,88,0.5892559580082742,0.0,0.6205985980009826,2018-03-27 10:00:00,2018-03-27,1.0
2018-03-27 10:00:00,2.0,34,1.0,0.0,112,0.6205985980009826,1.0,0.5519805957722071,2018-03-27 11:00:00,2018-03-27,1.0
2018-03-27 11:00:00,0.0,35,2.0,1.0,66,0.5519805957722071,0.0,0.5519805957722071,2018-03-27 12:00:00,2018-03-27,1.0
2018-03-27 12:00:00,4.0,36,4.0,0.0,66,0.5519805957722071,1.0,0.14422282923252733,2018-03-27 13:00:00,2018-03-27,1.0
2018-03-27 13:00:00,0.0,37,1.0,1.0,2,0.14422282923252733,1.0,0.18198894821411368,2018-03-27 14:00:00,2018-03-27,1.0
2018-03-27 16:00:00,4.0,40,1.0,0.0,3875,1.0,1.0,0.8307143071013925,2018-03-27 17:00:00,2018-03-27,1.0
2018-03-28 11:00:00,0.0,59,2.0,1.0,7,0.2729834223211705,1.0,0.2554537847644892,2018-03-28 12:00:00,2018-03-28,1.0
2018-03-28 12:00:00,0.0,60,4.0,1.0,6,0.2554537847644892,1.0,0.21128262590867591,2018-03-28 13:00:00,2018-03-28,1.0
2018-03-28 13:00:00,0.0,61,3.0,1.0,4,0.21128262590867591,0.0,0.21128262590867591,2018-03-28 14:00:00,2018-03-28,1.0
2018-03-29 11:00:00,0.0,83,2.0,1.0,1,0.09099447410705684,0.0,0.14422282923252733,2018-03-29 12:00:00,2018-03-29,1.0
2018-03-29 12:00:00,2.0,84,2.0,0.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-29 13:00:00,2018-03-29,1.0
2018-03-29 17:00:00,2.0,89,3.0,0.3333333333333333,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-29 18:00:00,2018-03-29,1.0
2018-03-30 12:00:00,2.0,108,3.0,0.3333333333333333,23,0.41720625155369784,1.0,0.42256525181735183,2018-03-30 13:00:00,2018-03-30,1.0
2018-03-30 13:00:00,0.0,109,3.0,1.0,24,0.42256525181735183,0.0,0.42256525181735183,2018-03-30 14:00:00,2018-03-30,1.0
2018-03-30 14:00:00,2.0,110,2.0,0.0,24,0.42256525181735183,0.0,0.14422282923252733,2018-03-30 15:00:00,2018-03-30,1.0
2018-03-30 15:00:00,2.0,111,2.0,0.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-30 16:00:00,2018-03-30,1.0
2018-04-01 09:00:00,6.0,153,2.0,0.0,14,0.35550545514120324,1.0,0.36397789642822737,2018-04-01 10:00:00,2018-04-01,1.0
2018-04-01 10:00:00,0.0,154,1.0,1.0,15,0.36397789642822737,0.0,0.36397789642822737,2018-04-01 11:00:00,2018-04-01,1.0
2018-04-01 11:00:00,4.0,155,4.0,0.0,15,0.36397789642822737,0.0,0.18198894821411368,2018-04-01 12:00:00,2018-04-01,1.0
2018-04-01 15:00:00,0.0,159,1.0,1.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-04-01 16:00:00,2018-04-01,1.0
2018-04-02 12:00:00,2.0,12,2.0,0.0,96,0.6005555982272285,0.0,0.6019020436360354,2018-04-02 13:00:00,2018-04-02,1.0
2018-04-02 13:00:00,4.0,13,4.0,0.0,97,0.6019020436360354,1.0,0.4420494258737101,2018-04-02 14:00:00,2018-04-02,1.0
2018-04-02 16:00:00,4.0,16,1.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-04-02 17:00:00,2018-04-02,1.0
2018-04-03 08:00:00,0.0,32,2.0,1.0,41,0.4906710881040734,1.0,0.39967661399701654,2018-04-03 09:00:00,2018-04-03,1.0
2018-04-03 09:00:00,0.0,33,2.0,1.0,20,0.39967661399701654,1.0,0.14422282923252733,2018-04-03 10:00:00,2018-04-03,1.0
2018-04-03 10:00:00,0.0,34,1.0,1.0,2,0.14422282923252733,0.0,0.14422282923252733,2018-04-03 11:00:00,2018-04-03,1.0
2018-04-03 11:00:00,4.0,35,2.0,0.0,2,0.14422282923252733,1.0,0.09099447410705684,2018-04-03 12:00:00,2018-04-03,1.0
2018-04-04 09:00:00,4.0,57,3.0,0.0,1,0.09099447410705684,1.0,0.18198894821411368,2018-04-04 10:00:00,2018-04-04,1.0
2018-04-04 10:00:00,0.0,58,1.0,1.0,3,0.18198894821411368,0.0,0.5054368914393274,2018-04-04 11:00:00,2018-04-04,1.0
