closure_fraction,demand_multiplier,distance_beta_per_km,method,metric,mean,sd,ci95_low,ci95_high,n
0.2,1.0,1.0,nearest,energy_weighted_extra_distance_km,0.5298202628420555,0.36458277147237833,0.38395677551960333,0.6756837501645077,24
0.2,1.0,1.0,nearest,max_capacity_utilization,0.9368809957072431,0.19771567652492855,0.8577782505068191,1.0159837409076673,24
0.2,1.0,1.0,no_choice,served_fraction,0.5583144449012704,0.22373922418056608,0.4688001122354718,0.6478287775670689,24
0.2,1.0,1.0,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.2,1.0,1.0,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.2,1.0,1.0,no_choice,max_capacity_utilization,0.9115594645515005,0.23953233135589275,0.8157265730603711,1.0073923560426299,24
0.2,1.0,2.0,coordinated,served_fraction,1.0,0.0,1.0,1.0,24
0.2,1.0,2.0,coordinated,rerouted_fraction,0.4416855550987296,0.22373922418056608,0.35217122243293103,0.5311998877645282,24
0.2,1.0,2.0,coordinated,energy_weighted_extra_distance_km,0.504443980728465,0.3471901716211193,0.36553898257889134,0.6433489788780387,24
0.2,1.0,2.0,coordinated,max_capacity_utilization,0.9191710644901012,0.21044243710517313,0.83497655460465,1.0033655743755525,24
0.2,1.0,2.0,logit,served_fraction,0.9999999999999999,7.090024419576961e-16,0.9999999999999996,1.0000000000000002,24
0.2,1.0,2.0,logit,rerouted_fraction,0.5774459001390276,0.18211074110420972,0.5045864293827449,0.6503053708953104,24
0.2,1.0,2.0,logit,energy_weighted_extra_distance_km,0.6842246288938423,0.3875340891145695,0.5291787021038987,0.8392705556837858,24
0.2,1.0,2.0,logit,max_capacity_utilization,0.8857641039950201,0.24513467628433483,0.7876898077190578,0.9838384002709825,24
0.2,1.0,2.0,nearest,served_fraction,1.0,0.0,1.0,1.0,24
0.2,1.0,2.0,nearest,rerouted_fraction,0.661816721012998,0.18085251683156997,0.5894606448068741,0.734172797219122,24
0.2,1.0,2.0,nearest,energy_weighted_extra_distance_km,0.5298202628420555,0.36458277147237833,0.38395677551960333,0.6756837501645077,24
0.2,1.0,2.0,nearest,max_capacity_utilization,0.9368809957072431,0.19771567652492855,0.8577782505068191,1.0159837409076673,24
0.2,1.0,2.0,no_choice,served_fraction,0.5583144449012704,0.22373922418056608,0.4688001122354718,0.6478287775670689,24
0.2,1.0,2.0,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.2,1.0,2.0,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.2,1.0,2.0,no_choice,max_capacity_utilization,0.9115594645515005,0.23953233135589275,0.8157265730603711,1.0073923560426299,24
0.2,2.0,0.5,coordinated,served_fraction,0.9935248047677074,0.02237174304953318,0.9845742434301321,1.0024753661052828,24
0.2,2.0,0.5,coordinated,rerouted_fraction,0.6176715023432416,0.21962480318622712,0.5298032809078869,0.7055397237785964,24
0.2,2.0,0.5,coordinated,energy_weighted_extra_distance_km,0.9989230570410298,0.5841001287034019,0.7652343356182013,1.2326117784638582,24
0.2,2.0,0.5,coordinated,max_capacity_utilization,0.9691391904903268,0.1304097364904176,0.9169644295479121,1.0213139514327416,24
0.2,2.0,0.5,logit,served_fraction,0.9935248047677074,0.022371743049533186,0.9845742434301321,1.0024753661052828,24
0.2,2.0,0.5,logit,rerouted_fraction,0.7635475679187979,0.14627431371770722,0.7050256541750497,0.822069481662546,24
0.2,2.0,0.5,logit,energy_weighted_extra_distance_km,1.8994254997236704,0.5952383029374286,1.6612805805227104,2.1375704189246303,24
0.2,2.0,0.5,logit,max_capacity_utilization,0.9242941930991425,0.2111823625724085,0.8398036513727631,1.008784734825522,24
0.2,2.0,0.5,nearest,served_fraction,0.9935248047677074,0.022371743049533162,0.9845742434301321,1.0024753661052828,24
0.2,2.0,0.5,nearest,rerouted_fraction,0.8142106269258482,0.12488661918195738,0.7642455731186596,0.8641756807330369,24
0.2,2.0,0.5,nearest,energy_weighted_extra_distance_km,1.1903385993357045,0.713490722964085,0.9048828587820293,1.4757943398893798,24
0.2,2.0,0.5,nearest,max_capacity_utilization,0.9691391904903264,0.13040973649041745,0.9169644295479117,1.021313951432741,24
0.2,2.0,0.5,no_choice,served_fraction,0.3800207762243586,0.2200357831955041,0.2919881285405257,0.4680534239081915,24
0.2,2.0,0.5,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.2,2.0,0.5,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.2,2.0,0.5,no_choice,max_capacity_utilization,0.953915990613125,0.2043302716421978,0.8721668562069399,1.03566512501931,24
0.2,2.0,1.0,coordinated,served_fraction,0.9935248047677074,0.02237174304953318,0.9845742434301321,1.0024753661052828,24
0.2,2.0,1.0,coordinated,rerouted_fraction,0.6176715023432416,0.21962480318622712,0.5298032809078869,0.7055397237785964,24
0.2,2.0,1.0,coordinated,energy_weighted_extra_distance_km,0.9989230570410298,0.5841001287034019,0.7652343356182013,1.2326117784638582,24
0.2,2.0,1.0,coordinated,max_capacity_utilization,0.9691391904903268,0.1304097364904176,0.9169644295479121,1.0213139514327416,24
0.2,2.0,1.0,logit,served_fraction,0.9935248047677062,0.022371743049532756,0.984574243430131,1.0024753661052814,24
0.2,2.0,1.0,logit,rerouted_fraction,0.7266673541657612,0.1727786921925503,0.6575414805638944,0.7957932277676281,24
0.2,2.0,1.0,logit,energy_weighted_extra_distance_km,1.4249980293077076,0.647255963413782,1.1660417115626147,1.6839543470528004,24
0.2,2.0,1.0,logit,max_capacity_utilization,0.9434429684014134,0.16516304378816557,0.8773639887325732,1.0095219480702535,24
0.2,2.0,1.0,nearest,served_fraction,0.9935248047677074,0.022371743049533162,0.9845742434301321,1.0024753661052828,24
0.2,2.0,1.0,nearest,rerouted_fraction,0.8142106269258482,0.12488661918195738,0.7642455731186596,0.8641756807330369,24
0.2,2.0,1.0,nearest,energy_weighted_extra_distance_km,1.1903385993357045,0.713490722964085,0.9048828587820293,1.4757943398893798,24
0.2,2.0,1.0,nearest,max_capacity_utilization,0.9691391904903264,0.13040973649041745,0.9169644295479117,1.021313951432741,24
0.2,2.0,1.0,no_choice,served_fraction,0.3800207762243586,0.2200357831955041,0.2919881285405257,0.4680534239081915,24
0.2,2.0,1.0,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.2,2.0,1.0,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
