traffic_multiplier,power_threat,backup_duration_s,metric,mean,sd,ci95_low,ci95_high,n
0.5,0.5929419665133093,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5929419665133093,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,300.0,control_latency_p95_ms,145.88381225564817,51.53015051264131,131.60038326133173,160.1672412499646,50
0.5,0.5929419665133093,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5929419665133093,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,0.0,control_on_time_fraction,0.897931400759958,0.08368260673299031,0.8747357655941583,0.9211270359257577,50
0.5,0.7795591201968467,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,0.0,control_latency_p95_ms,590.5418694418082,203.3373630742611,534.179627948835,646.9041109347814,50
0.5,0.7795591201968467,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.7795591201968467,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,60.0,control_on_time_fraction,0.9426098553270381,0.058163362595874485,0.9264877937486414,0.9587319169054348,50
0.5,0.7795591201968467,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,60.0,control_latency_p95_ms,447.0194136962013,179.5398455260152,397.2535075284661,496.7853198639365,50
0.5,0.7795591201968467,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.7795591201968467,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.7795591201968467,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
