forecast,condition,group,policy,comparator,n,proposed_mean,reference_mean,difference,ci_low,ci_high,reduction_percent,paired_t_p,wilcoxon_p,holm_paired_t,holm_wilcoxon
graph,zero_all_unsupported,independent,robust,central,1024,384.6486836164702,384.63027144270814,0.018412173762043446,-0.12093821215075864,0.14311402857801672,-0.004786979894479262,0.7828037927526381,0.5962626683115957,1.0,1.0
graph,zero_all_unsupported,independent,protected_0.001,matched,1024,384.6296369651852,384.6663116491061,-0.03667468392086451,-0.07908887782396058,-0.005114458501338959,0.009534155399165623,0.053287490028233596,0.0625,1.0,1.0
graph,zero_all_unsupported,independent,protected_0.001,central,1024,384.6296369651852,384.63027144270814,-0.0006344775229085997,-0.042532860417361665,0.04651320146375434,0.00016495777114181382,0.9777645323068727,0.5118624530766922,1.0,1.0
graph,zero_all_unsupported,independent,observed,matched,1024,384.7499123183593,384.6663116491061,0.0836006692532219,-0.021038103693463615,0.2068289124635937,-0.021733296293823284,0.14904254248222257,0.19818596113035425,1.0,1.0
graph,zero_all_unsupported,independent,observed,central,1024,384.7499123183593,384.63027144270814,0.11964087565117781,0.028901257627544665,0.23475770107202018,-0.031105423710520063,0.023562431249893767,0.02863003379025031,1.0,1.0
graph,nonlinear_ood,published,central,matched,1024,378.19951115371333,379.5414127263183,-1.3419015726049892,-1.7674261218780538,-0.9457063201853182,0.35355867044016476,2.629311369458875e-10,1.6772214522755022e-19,3.99655328157749e-08,2.6835543236408034e-17
graph,nonlinear_ood,published,robust,central,1024,378.580937811169,378.19951115371333,0.38142665745569604,0.16461836669265814,0.5926519056176481,-0.10085329203418009,0.0004998193452493659,4.6873461898143746e-05,0.05398048928693151,0.0050154604231013806
graph,nonlinear_ood,published,protected_0.001,matched,1024,378.6623754112269,379.5414127263183,-0.8790373150913842,-1.2468702516957806,-0.5499378270471423,0.23160511227934036,1.0363186148648627e-06,1.609151242507933e-09,0.00014197565023648618,2.236720227086027e-07
graph,nonlinear_ood,published,protected_0.001,central,1024,378.6623754112269,378.19951115371333,0.462864257513605,0.276484251920032,0.6563341862715575,-0.12238626541362212,2.821090376011535e-06,8.227804541371692e-11,0.0003723839296335226,1.1930316584988953e-08
graph,nonlinear_ood,independent,central,matched,1024,367.9603237645413,368.02972420363716,-0.06940043909587959,-0.14726507729558388,-0.001549984679779665,0.01885729182501551,0.06397446392717508,0.5489770043621361,1.0,1.0
graph,nonlinear_ood,independent,robust,central,1024,367.86730067686494,367.9603237645413,-0.09302308767632561,-0.2370105888987646,0.011129959481310174,0.025280738620028855,0.15196868665386004,0.337686529201072,1.0,1.0
graph,nonlinear_ood,independent,protected_0.001,matched,1024,367.98349663150606,368.02972420363716,-0.04622757213110165,-0.09753443585395877,-0.006206575781106949,0.012560825686330473,0.046193486077822275,0.0625,1.0,1.0
graph,nonlinear_ood,independent,protected_0.001,central,1024,367.98349663150606,367.9603237645413,0.023172866964777942,-0.029088557930344337,0.08629657171690021,-0.006297653705622435,0.4313074240096276,0.8856035552669094,1.0,1.0
graph,nonlinear_ood,independent,observed,matched,1024,368.05794501809726,368.02972420363716,0.028220814460093505,-0.07650752634730068,0.13876553099173647,-0.00766808021312932,0.6047121225089994,0.6771968883105774,1.0,1.0
graph,nonlinear_ood,independent,observed,central,1024,368.05794501809726,367.9603237645413,0.09762125355597309,0.01772717921239714,0.19310456831081652,-0.02653037494837111,0.031786181155222165,0.08415465162215696,1.0,1.0
graph,electrical_stress,published,central,matched,1024,7503.71817178506,7506.046493348476,-2.3283215634164662,-6.366717042317262,1.8619112457918658,0.03101927979635779,0.2658945996464931,6.777568752916691e-07,1.0,8.268633878558363e-05
graph,electrical_stress,published,robust,central,1024,7503.654590448641,7503.71817178506,-0.06358133641868902,-3.9132318940745408,3.360653210165696,0.0008473310825793401,0.9726556742698353,0.41210053866571306,1.0,1.0
graph,electrical_stress,published,protected_0.001,matched,1024,7503.5660349471855,7506.046493348476,-2.4804584012912647,-4.625564637313051,-0.5237437434425092,0.033046136917608174,0.016453616841374415,6.354784893858323e-07,1.0,7.816385419445737e-05
graph,electrical_stress,published,protected_0.001,central,1024,7503.5660349471855,7503.71817178506,-0.15213683787479848,-3.8335017904560256,3.1160686298435474,0.0020274860328157373,0.931978746988255,0.0018747672500997105,1.0,0.17622812150937278
graph,electrical_stress,independent,central,matched,1024,7445.639764795952,7445.985561159008,-0.34579636305529526,-1.309333490732071,0.6526659275957418,0.004644064378248273,0.4916674953666117,0.7298971793418614,1.0,1.0
graph,electrical_stress,independent,robust,central,1024,7443.330128629952,7445.639764795952,-2.3096361660002294,-4.425377664019468,-0.6680534362859776,0.03101998268732418,0.01705961540355022,0.12469647147517451,1.0,1.0
graph,electrical_stress,independent,protected_0.001,matched,1024,7445.78443345105,7445.985561159008,-0.20112770795822055,-0.516219496726988,0.0,0.0027011562983331105,0.16107391472425941,0.5,1.0,1.0
graph,electrical_stress,independent,protected_0.001,central,1024,7445.78443345105,7445.639764795952,0.14466865509707483,-0.8057247053059479,1.0720148195129184,-0.0019429983140077348,0.7640572231368032,0.5384699388963056,1.0,1.0
graph,electrical_stress,independent,observed,matched,1024,7445.464861774224,7445.985561159008,-0.5206993847841113,-1.8332581047371201,0.7769083574738154,0.006993021682720824,0.4303944756132523,0.33342675142375144,1.0,1.0
graph,electrical_stress,independent,observed,central,1024,7445.464861774224,7445.639764795952,-0.1749030217288159,-1.5563497972563245,1.1918523126659215,0.002349066396628297,0.8034503276998028,0.20708470485652308,1.0,1.0
weekly,primary,published,central,matched,1024,525.1382948553238,525.6656299363967,-0.5273350810729558,-0.9422170699832974,-0.1105568643081395,0.10031758803343506,0.01214914975225843,2.389052698609118e-05,1.0,0.0026279579684700296
weekly,primary,published,robust,central,1024,525.5016608349154,525.1382948553238,0.36336597959157907,-0.03536316657575507,0.7724162060928433,-0.06919434045305853,0.07724176223969394,0.03494497993207861,1.0,1.0
weekly,primary,published,protected_0.001,matched,1024,524.9622399456479,525.6656299363967,-0.7033899907488572,-1.0109445831047512,-0.43662072399715224,0.13380939340355283,1.987275036013871e-06,1.689208713151522e-09,0.00026430757978984485,2.3311080241491004e-07
weekly,primary,published,protected_0.001,central,1024,524.9622399456479,525.1382948553238,-0.17605490967590154,-0.4868856336988456,0.1120997806855556,0.0335254372801749,0.24726520361036264,0.21382072928285578,1.0,1.0
weekly,primary,independent,central,matched,1024,498.8088794376477,498.81958591141296,-0.010706473765248425,-0.13864204930510135,0.12489164222834616,0.0021463619448074006,0.8738421339691971,0.7089491218369642,1.0,1.0
weekly,primary,independent,robust,central,1024,499.22526501395964,498.8088794376477,0.4163855763119158,0.10713019153637718,0.8181364042019614,-0.0834759751633421,0.022542318713750772,0.8809340263965925,1.0,1.0
