forecast,condition,group,policy,mean_cost,q95,q99,es95,maximum_cost,positive_excess,worse_fraction,guard_acceptance,crew_completion_fraction,crew_mean_completion_h,crew_total_travel_h,communication_loss,raw_infeasible_hours,infeasible_hours,curtailed_energy_kwh
graph,matrix_noise_015,independent,central,488.9534054392065,1555.2721408843977,2801.6077383422844,2285.324785172939,3822.907287597656,0.03533183948313741,0.0478515625,0.0,0.8262710731903655,3.007334269293854,1.7424967447916666,74.20958257005987,0,0,0.0
graph,matrix_noise_015,independent,robust,488.9429758704918,1555.2721408843977,2801.6077383422844,2282.9987845420833,3822.907287597656,0.16373054685450653,0.0498046875,0.0,0.8267760767227129,3.0033503467008478,1.741845703125,74.23165653309115,0,0,0.0
graph,matrix_noise_015,independent,protected_0.001,488.98236135722243,1555.2721408843977,2801.6077383422844,2285.6457281708713,3822.907287597656,0.0,0.0,0.0048828125,0.8256162697375821,3.00501523894164,1.7439290364583333,74.2169643994057,0,0,0.0
graph,matrix_noise_015,independent,observed,489.00066369009363,1555.2721408843977,2801.6077383422844,2285.324785172939,3822.907287597656,0.03371710391227495,0.044921875,0.0,0.8258095076653236,3.0152065421555343,1.744287109375,74.21714161519049,0,0,0.0
graph,expanded_unsupported,published,matched,645.0127596619423,1987.5938171386713,3190.9090136718746,2708.303565025329,4688.2138671875,0.0,0.0,0.0,0.8318868003988136,2.8532190356854805,1.7188151041666666,106.91500454630295,0,0,0.0
graph,expanded_unsupported,published,central,644.9017340734197,1972.7735855102533,3190.9090136718746,2702.5630947351447,4580.443237304688,2.230995111162385,0.1552734375,0.0,0.833625388307677,2.8345413002511872,1.7259765624999999,106.94796231285727,0,0,0.0
graph,expanded_unsupported,published,robust,642.8613027134791,1971.7823684692376,3186.3744732666005,2698.200475871562,4580.443237304688,0.7676879461022174,0.1142578125,0.0,0.8340957259850457,2.842156258394258,1.7195963541666666,106.46146453097754,0,0,0.0
graph,expanded_unsupported,published,protected_0.001,643.5107573497236,1971.7823684692376,3190.9090136718746,2703.8089975714674,4688.2138671875,0.22708262913511157,0.0107421875,0.060546875,0.8324798894928792,2.8438556172596696,1.7189453125,106.58151691230887,0,0,0.0
graph,expanded_unsupported,independent,matched,603.092430651591,1859.1276451110832,3132.168493652343,2607.1930555701247,4474.955139160156,0.0,0.0,0.0,0.8254440560643919,3.0069437064340727,1.7437174479166666,97.10064992446132,0,0,0.0
graph,expanded_unsupported,independent,central,602.9405427578276,1866.0512199401849,3132.168493652343,2607.0156489014616,4474.955139160156,0.1221384696665227,0.0537109375,0.0,0.8262940076127141,3.006473654684216,1.7417643229166668,97.08498036361561,0,0,0.0
graph,expanded_unsupported,independent,robust,602.8855040609766,1866.0512199401849,3132.168493652343,2603.421561539172,4474.955139160156,0.36018838173274514,0.0595703125,0.0,0.8269339050055411,2.9969209606652973,1.7417154947916667,97.11085852390534,0,0,0.0
graph,expanded_unsupported,independent,protected_0.001,602.9818667629363,1859.1276451110832,3132.168493652343,2607.1930555701247,4474.955139160156,0.0,0.0,0.0048828125,0.8256162697375821,3.00501523894164,1.7439290364583333,97.08637476716103,0,0,0.0
graph,expanded_unsupported,independent,observed,604.2983990723862,1859.1276451110832,3132.168493652343,2606.9900311231604,4474.955139160156,1.4283917283298644,0.0732421875,0.0,0.8259693059671275,3.007395467468071,1.7423828125,97.3830610629011,0,0,0.0
graph,zero_all_unsupported,published,matched,400.05629670441704,1363.9675148010253,2664.0593513488757,2053.6756677925578,3513.7500915527344,0.0,0.0,0.0,0.8318868003988136,2.8532190356854805,1.7188151041666666,60.74512231646804,0,0,0.0
graph,zero_all_unsupported,published,central,399.0759258154117,1363.9653488159179,2664.0593513488757,2052.339921712875,3487.0184326171875,0.316444847399908,0.095703125,0.0,0.833625388307677,2.8345413002511872,1.7259765624999999,60.41144376376178,0,0,0.0
graph,zero_all_unsupported,published,robust,399.46551055054806,1363.9653488159179,2664.0593513488757,2050.784265965223,3487.0184326171875,0.429321285531112,0.1083984375,0.0,0.8340957259850457,2.842156258394258,1.7195963541666666,60.56935666328354,0,0,0.0
