forecast,condition,group,policy,comparator,metric,n,proposed,reference,difference,ci_low,ci_high,scope
graph,zero_all_unsupported,published,protected_0.001,central,q99,1024,2664.0593513488757,2664.0593513488757,0.0,-22.905197143554688,17.433181762695767,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,published,protected_0.001,central,es95,1024,2052.591725885867,2052.339921712875,0.25180417299225155,-1.6920743018388749,2.1671876363451696,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,published,protected_0.001,central,maximum,1024,3513.7500915527344,3487.0184326171875,26.731658935546875,0.0,26.731658935546875,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,independent,protected_0.001,central,q95,1024,1328.0123855590814,1328.0123855590814,0.0,-0.0005836486818679987,5.465069885253398,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,independent,protected_0.001,central,q99,1024,2599.486815795898,2599.486815795898,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,independent,protected_0.001,central,es95,1024,2006.0713026672595,2006.0181150585406,0.05318760871887207,-0.012038648128509521,0.33794921562075614,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,independent,protected_0.001,central,maximum,1024,3316.997772216797,3316.997772216797,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,published,protected_0.001,central,q95,1024,1304.2388852119418,1304.706736850736,-0.4678516387941727,-9.963708562850318,2.918996810913086,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,published,protected_0.001,central,q99,1024,2559.8176278686515,2559.8176278686515,0.0,-8.798828125,12.074493408203125,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,published,protected_0.001,central,es95,1024,1972.042860783636,1971.7763260230415,0.266534760594368,-1.8929726015776396,2.4763241741806254,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,published,protected_0.001,central,maximum,1024,3194.775115966797,3194.775115966797,0.0,0.0,13.609436035155795,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,independent,protected_0.001,central,q95,1024,1271.8604541778561,1271.8580677032467,0.0023864746094659495,-0.00010757446284515026,5.226340484618504,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,independent,protected_0.001,central,q99,1024,2498.955418548584,2498.955418548584,0.0,0.0,0.0123359680176236,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,independent,protected_0.001,central,es95,1024,1939.8325239121907,1939.7621678411954,0.07035607099533081,-0.013485223054885864,0.2875266000628469,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,nonlinear_ood,independent,protected_0.001,central,maximum,1024,3135.1688232421875,3135.1688232421875,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,published,protected_0.001,central,q95,1024,35243.54943847652,35243.54943847652,0.0,-96.28052307128037,23.160632324223116,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,published,protected_0.001,central,q99,1024,56564.10286621094,56564.10286621094,0.0,-7.093925781249709,31.56745605469041,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,published,protected_0.001,central,es95,1024,47933.85316896437,47931.34340333937,2.509765625,-6.620497703552246,14.069503021240232,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,published,protected_0.001,central,maximum,1024,66453.611328125,66453.611328125,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,independent,protected_0.001,central,q95,1024,35104.93311767576,35104.93311767576,0.0,-1.1772583007914363,81.0673828125,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,independent,protected_0.001,central,q99,1024,56542.41479492187,56542.41479492187,0.0,-0.369140625,39.10335937499622,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,independent,protected_0.001,central,es95,1024,47794.36333036421,47791.14187097548,3.22145938873291,-0.023881077766418454,6.339680314064022,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,electrical_stress,independent,protected_0.001,central,maximum,1024,66624.1689453125,66624.1689453125,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,published,protected_0.001,central,q95,1024,1646.7390296936035,1646.7390296936035,0.0,-4.027954101562045,11.674244689940002,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,published,protected_0.001,central,q99,1024,2900.0726213073713,2900.0726213073713,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,published,protected_0.001,central,es95,1024,2350.81718212366,2351.63800305128,-0.8208209276199341,-2.260793648660183,0.5505792051553718,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,published,protected_0.001,central,maximum,1024,3931.910400390625,3931.910400390625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,independent,protected_0.001,central,q95,1024,1557.7771133422848,1557.7771133422848,0.0,-3.603395080566088,0.020748138427734375,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,independent,protected_0.001,central,q99,1024,2779.7001489257805,2779.7001489257805,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,independent,protected_0.001,central,es95,1024,2280.5205407440653,2280.583112806081,-0.06257206201553345,-0.5481142401695251,0.4011193662881851,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,primary,independent,protected_0.001,central,maximum,1024,3785.187744140625,3785.187744140625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,published,protected_0.001,central,q95,1024,1646.7390296936035,1671.0732688903806,-24.334239196777162,-46.21495031356909,11.674244689940224,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,published,protected_0.001,central,q99,1024,2900.0726213073713,2907.220781707762,-7.14816040039068,-21.37921142578125,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,published,protected_0.001,central,es95,1024,2351.825047194957,2360.1741240024558,-8.349076807498932,-14.739049205183983,-2.2756387278437615,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,published,protected_0.001,central,maximum,1024,3869.608795166016,3857.1326293945312,12.47616577148483,0.0,14.346038818360284,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,independent,protected_0.001,central,q95,1024,1557.7771133422848,1557.7771133422848,0.0,0.0,0.020748138427734375,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,independent,protected_0.001,central,q99,1024,2779.7001489257805,2779.7001489257805,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,independent,protected_0.001,central,es95,1024,2280.5205407440653,2281.930729418992,-1.4101886749267578,-4.497181728482246,0.36588031053543074,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_075,independent,protected_0.001,central,maximum,1024,3785.187744140625,3785.187744140625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,published,protected_0.001,central,q95,1024,1654.0553245544427,1654.0553245544427,0.0,-29.47517162322892,8.82581779479875,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,published,protected_0.001,central,q99,1024,2900.0726213073713,2900.0726213073713,0.0,-27.29236190795791,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,published,protected_0.001,central,es95,1024,2354.0354565381995,2356.9443387389174,-2.908882200717926,-5.929353825747967,-0.23382604867220017,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,published,protected_0.001,central,maximum,1024,3857.1326293945312,3857.1326293945312,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,independent,protected_0.001,central,q95,1024,1557.7771133422848,1557.7771133422848,0.0,0.0,18.5142959594707,"Paired marginal bootstrap interval, exploratory tail endpoint"
